epoch,train_loss,val_loss,val_cbf_rmse,val_att_rmse,lr
1,0.30851514804728175,0.24620944261550903,5.0943646,0.38259575,0.001
2,0.24112264386245183,0.2374042570590973,4.8277407,0.38563278,0.001
3,0.23562845694167273,0.23519904911518097,4.812867,0.3849981,0.001
4,0.23349616600542653,0.2344300001859665,4.9119663,0.38269255,0.001
5,0.23242840490170888,0.23190486431121826,4.7739596,0.3832649,0.001
6,0.23118618343557631,0.23074451088905334,4.749733,0.3791199,0.001
7,0.23049023352107223,0.2294192910194397,4.7485576,0.37827432,0.001
8,0.22893915659919076,0.22895924746990204,4.7502937,0.37867832,0.001
9,0.2282947660708914,0.2298760563135147,4.808168,0.3790284,0.001
10,0.228181463267122,0.2279515564441681,4.7804737,0.37547868,0.001
11,0.2272385025815088,0.22679145634174347,4.712913,0.37939802,0.001
12,0.22636737628858916,0.22601649165153503,4.6592064,0.37547785,0.001
13,0.22607055291229364,0.22677578032016754,4.6942472,0.3772586,0.001
14,0.22580992202369535,0.22561940550804138,4.6750464,0.37597474,0.001
15,0.2256079749489317,0.22668583691120148,4.7007065,0.3756669,0.001
16,0.22548803109295515,0.22535431385040283,4.7213798,0.3766891,0.001
17,0.22528041230172527,0.2247806042432785,4.680505,0.37539685,0.001
18,0.22503030756298376,0.22527261078357697,4.769354,0.37501457,0.001
19,0.22514307286058152,0.22494260966777802,4.6818786,0.37388137,0.001
20,0.22467058973044765,0.2243739664554596,4.6643357,0.37630972,0.001
21,0.22487519407758907,0.22457608580589294,4.664609,0.374303,0.001
22,0.22473519341069825,0.22446343302726746,4.658907,0.3740383,0.001
23,0.22413798573673988,0.2242003083229065,4.676055,0.37328303,0.001
24,0.22425764753502242,0.22540535032749176,4.6712184,0.3725364,0.001
25,0.22398021513102007,0.22446143627166748,4.661606,0.3746169,0.001
26,0.22387711992677378,0.22348371148109436,4.620244,0.37479606,0.001
27,0.2239810094541433,0.22423827648162842,4.725566,0.3763542,0.001
28,0.22372475479330337,0.22468748688697815,4.7591476,0.37301877,0.001
29,0.22363803946242042,0.22358520328998566,4.6491485,0.37364775,0.001
30,0.22338709554501943,0.22336141765117645,4.6403913,0.3734501,0.001
31,0.2235477025411567,0.22344434261322021,4.662282,0.37226376,0.001
32,0.22322554156488303,0.22347745299339294,4.6204963,0.37203306,0.001
33,0.22303218789854828,0.2232820689678192,4.6837244,0.37220138,0.001
34,0.22300836504722127,0.22258464992046356,4.6400194,0.37155023,0.001
35,0.22263965755701065,0.22288808226585388,4.626243,0.37287328,0.001
36,0.22285267604248865,0.22291362285614014,4.659555,0.37402034,0.001
37,0.22249940083343156,0.2227889746427536,4.649224,0.37165263,0.001
38,0.22250456317346923,0.22282657027244568,4.667785,0.3724525,0.001
39,0.22253982905222444,0.22275596857070923,4.6094203,0.37172833,0.001
40,0.22226305534036792,0.22239935398101807,4.6193423,0.3723291,0.001
41,0.22219339256383935,0.22243788838386536,4.642843,0.3717024,0.001
42,0.22248788618919801,0.2229558527469635,4.6008587,0.37243983,0.001
43,0.22241609817256733,0.22273573279380798,4.6214056,0.37183642,0.001
44,0.2218977146002711,0.22180920839309692,4.634281,0.37188745,0.001
45,0.22223430643884504,0.22185930609703064,4.609968,0.37153694,0.001
46,0.22172079706678585,0.22167082130908966,4.6187153,0.37161258,0.001
47,0.22201329804196648,0.22174862027168274,4.593888,0.3724459,0.001
48,0.2216349475237788,0.221900075674057,4.636863,0.37034017,0.001
49,0.2214850492927493,0.2213485836982727,4.602339,0.37052888,0.001
50,0.22164800367793258,0.22158671915531158,4.605539,0.37254614,0.001
51,0.22150253899851624,0.22148866951465607,4.6223435,0.37202045,0.001
52,0.2214570519875507,0.2216515988111496,4.6351066,0.3700602,0.001
53,0.221301191771517,0.22217635810375214,4.6937966,0.36849463,0.001
54,0.22121837993665616,0.22183014452457428,4.628491,0.37063128,0.001
55,0.22125405149192226,0.2218414545059204,4.6202745,0.36936334,0.001
56,0.2207162916964414,0.22084403038024902,4.620791,0.37069285,0.0005
57,0.22058321018608248,0.22060707211494446,4.6140394,0.37079337,0.0005
58,0.22062982953324609,0.22111429274082184,4.6187396,0.3708328,0.0005
59,0.22067145014903983,0.22061128914356232,4.608671,0.37149575,0.0005
60,0.22054829159561468,0.22075526416301727,4.6242647,0.36994827,0.0005
61,0.22051337741467417,0.2205968052148819,4.59768,0.37031505,0.0005
62,0.22052325323528174,0.22092249989509583,4.5891147,0.3701424,0.0005
63,0.2205870586390398,0.22056099772453308,4.5849195,0.37073645,0.0005
64,0.22045748939319532,0.2206682413816452,4.5900908,0.37032297,0.0005
65,0.22044538919414794,0.22054523229599,4.5903425,0.37141687,0.0005
66,0.22056104562112264,0.22054092586040497,4.6019397,0.37044305,0.0005
67,0.22048336693218776,0.22056059539318085,4.595923,0.37044007,0.0005
68,0.2204511609612679,0.2207343876361847,4.588109,0.3703824,0.0005
69,0.2203729438538454,0.22045892477035522,4.6170044,0.36976606,0.0005
70,0.2203340118332785,0.2206588238477707,4.6009016,0.37005988,0.0005
71,0.22038086853465255,0.22065266966819763,4.5796795,0.36931458,0.0005
72,0.22028133668461625,0.22082287073135376,4.6210647,0.37054202,0.0005
73,0.2203106991186434,0.22079354524612427,4.616207,0.37059903,0.0005
74,0.220361734835469,0.2205086499452591,4.5875726,0.36960185,0.0005
75,0.22026807206625842,0.2207278311252594,4.5966654,0.37060896,0.0005
76,0.22000490311457185,0.2201431542634964,4.5919595,0.36950085,0.00025
77,0.21997178178660723,0.2201479971408844,4.5881467,0.36965486,0.00025
78,0.2199484485448623,0.22012034058570862,4.591846,0.37053043,0.00025
79,0.21994944068850303,0.2201184332370758,4.5935025,0.36924624,0.00025
80,0.21991609371438317,0.2200225293636322,4.588384,0.37050137,0.00025
81,0.21994152087338117,0.2202843278646469,4.6071496,0.3704403,0.00025
82,0.21998683697715096,0.22013472020626068,4.6020093,0.37004733,0.00025
