bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.720278,3.2113829,1.3383807,11.393071,10.054689
20-40,20006,4.2766633,2.9941154,-0.020311039,29.991655,30.011969
40-60,19921,4.31215,3.1892157,0.081924796,50.126392,50.044468
60-80,20040,4.8946676,3.6678472,0.20493259,70.19391,69.988976
80-100,20051,4.640831,3.3824382,-1.1867981,88.790085,89.97688
