bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.751634,3.2406056,1.3526119,11.407302,10.054689
20-40,20006,4.300312,3.0300043,0.15458636,30.166553,30.011969
40-60,19921,4.3301272,3.2101495,0.26090702,50.30538,50.044468
60-80,20040,4.863999,3.6558886,0.29434052,70.28332,69.988976
80-100,20051,4.637507,3.401691,-1.235692,88.74119,89.97688
