epoch,train_loss,val_loss,val_cbf_rmse,val_att_rmse,lr
1,0.30851514804728175,0.24620944261550903,5.0943646,0.38259575,0.001
2,0.24112264386245183,0.2374042570590973,4.8277407,0.38563278,0.001
3,0.23562845694167273,0.23519904911518097,4.812867,0.3849981,0.001
4,0.23349616600542653,0.2344300001859665,4.9119663,0.38269255,0.001
5,0.23242840490170888,0.23190486431121826,4.7739596,0.3832649,0.001
6,0.23118618343557631,0.23074451088905334,4.749733,0.3791199,0.001
7,0.23049023352107223,0.2294192910194397,4.7485576,0.37827432,0.001
8,0.22893915659919076,0.22895924746990204,4.7502937,0.37867832,0.001
9,0.2282947660708914,0.2298760563135147,4.808168,0.3790284,0.001
10,0.228181463267122,0.2279515564441681,4.7804737,0.37547868,0.001
11,0.2272385025815088,0.22679145634174347,4.712913,0.37939802,0.001
12,0.22636737628858916,0.22601649165153503,4.6592064,0.37547785,0.001
13,0.22607055291229364,0.22677578032016754,4.6942472,0.3772586,0.001
14,0.22580992202369535,0.22561940550804138,4.6750464,0.37597474,0.001
15,0.2256079749489317,0.22668583691120148,4.7007065,0.3756669,0.001
16,0.22548803109295515,0.22535431385040283,4.7213798,0.3766891,0.001
17,0.22528041230172527,0.2247806042432785,4.680505,0.37539685,0.001
18,0.22503030756298376,0.22527261078357697,4.769354,0.37501457,0.001
19,0.22514307286058152,0.22494260966777802,4.6818786,0.37388137,0.001
20,0.22467058973044765,0.2243739664554596,4.6643357,0.37630972,0.001
21,0.22487519407758907,0.22457608580589294,4.664609,0.374303,0.001
22,0.22473519341069825,0.22446343302726746,4.658907,0.3740383,0.001
23,0.22413798573673988,0.2242003083229065,4.676055,0.37328303,0.001
24,0.22425764753502242,0.22540535032749176,4.6712184,0.3725364,0.001
25,0.22398021513102007,0.22446143627166748,4.661606,0.3746169,0.001
26,0.22387711992677378,0.22348371148109436,4.620244,0.37479606,0.001
27,0.2239810094541433,0.22423827648162842,4.725566,0.3763542,0.001
28,0.22372475479330337,0.22468748688697815,4.7591476,0.37301877,0.001
29,0.22363803946242042,0.22358520328998566,4.6491485,0.37364775,0.001
30,0.22338709554501943,0.22336141765117645,4.6403913,0.3734501,0.001
