epoch,train_loss,val_loss,val_cbf_rmse,val_att_rmse,lr
1,0.30851514804728175,0.24620944261550903,5.0943646,0.38259575,0.001
2,0.24114041881901876,0.2373386025428772,4.8283205,0.38570297,0.0009997535269026829
3,0.23561343505066268,0.23488900065422058,4.805651,0.38485762,0.0009990143508499217
4,0.23346710919725652,0.2346423715353012,4.9311395,0.38259673,0.0009977832013192385
5,0.23246594548833613,0.23255038261413574,4.785098,0.38336945,0.0009960612933065818
6,0.2313938113499661,0.23102954030036926,4.758006,0.37903538,0.0009938503261272714
7,0.23045704726661956,0.2293798178434372,4.743525,0.37791932,0.00099115248173898
8,0.2289335361244727,0.22865839302539825,4.7403355,0.3781786,0.0009879704225884043
9,0.2282365142386787,0.23131133615970612,4.8498907,0.37947085,0.0009843072889837512
10,0.22857483400374043,0.22787947952747345,4.7521825,0.37547266,0.000980166695995633
11,0.22737572159694167,0.22757194936275482,4.7203746,0.37935647,0.0009755527298894294
12,0.22624801525047847,0.22625380754470825,4.6619043,0.37557644,0.0009704699440926358
13,0.22598110154575232,0.22689510881900787,4.6933455,0.37697995,0.0009649233547011817
14,0.22575479244091073,0.22573696076869965,4.683779,0.37591848,0.0009589184355291487
15,0.2258043085433999,0.22574900090694427,4.671096,0.3754047,0.000952461112706777
16,0.22535165140823443,0.224844291806221,4.675465,0.37657607,0.00094555775883209
17,0.22522304024623366,0.22491519153118134,4.671978,0.37529203,0.0009382151866819101
18,0.22500872475152112,0.2248888611793518,4.7206235,0.37523806,0.0009304406424884702
19,0.22512570586131544,0.22526147961616516,4.707706,0.37422693,0.000922241798788257
20,0.22480510388101851,0.2245224416255951,4.6868463,0.37653768,0.0009136267468501441
21,0.22466015207524204,0.22463253140449524,4.6503735,0.37419274,0.0009046039886902867
22,0.2245873405921216,0.2249615639448166,4.672009,0.37439752,0.0008951824286816578
23,0.2242456607672633,0.22446921467781067,4.7014756,0.37352145,0.0008853713647665072
24,0.22404110127565813,0.22483699023723602,4.6583614,0.37282565,0.000875180479280415
25,0.22390920243092946,0.22437463700771332,4.6528316,0.37477458,0.0008646198293969955
