bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.892186,3.3564825,1.8075923,11.862283,10.054689
20-40,20006,4.1958914,2.9879801,0.06363393,30.075602,30.011969
40-60,19921,4.3371024,3.2263196,-0.056233868,49.988235,50.044468
60-80,20040,4.8872685,3.6952732,-0.1366527,69.852325,69.988976
80-100,20051,4.7979126,3.5634978,-1.6972895,88.27959,89.97688
