bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.649423,3.2054682,1.2841951,11.338884,10.054689
20-40,20006,4.2949166,3.0484016,-0.20229666,29.80967,30.011969
40-60,19921,4.3482037,3.2381768,-0.017076517,50.027397,50.044468
60-80,20040,4.9870744,3.7430663,0.28191105,70.27088,69.988976
80-100,20051,4.5679607,3.3509095,-0.7380675,89.23881,89.97688
