Range,N,RMSE,MAE,Bias
0-20,19982,4.9366136,3.4227817,1.4415735
20-40,20006,4.261182,3.0474143,-0.03618789
40-60,19921,4.3891478,3.2530334,0.116172746
60-80,20040,5.013308,3.7720091,0.45429277
80-100,20051,4.5642,3.3756523,-0.935673
