Range,N,RMSE,MAE,Bias
0.5-1.0,19728,0.60716856,0.47195303,0.47182864
1.0-1.5,20281,0.3580373,0.25571045,-0.02434831
1.5-2.0,19836,0.30293426,0.20794767,-0.08485179
2.0-2.5,20275,0.19394131,0.10748789,-0.016902145
2.5-3.0,19880,0.27821627,0.14577238,-0.10896491
