Bin,Samples,RMSE,MAE,Bias
0.5-1.0,19728,0.5688156,0.4340949,0.43398175
1.0-1.5,20281,0.34914303,0.25767678,-0.057919484
1.5-2.0,19836,0.30873415,0.20845218,-0.10382095
2.0-2.5,20275,0.20878792,0.113298155,-0.03707967
2.5-3.0,19880,0.3009844,0.15550339,-0.12214838
