range,N,RMSE,MAE,Bias
0-20,19982,4.8487635,3.3205287,1.3555036
20-40,20006,4.257457,3.0179229,-0.047369625
40-60,19921,4.393431,3.2557306,0.132286
60-80,20040,4.969392,3.7414627,0.348469
80-100,20051,4.6014028,3.4035094,-1.074353
