SNR,Model,CBF_RMSE,CBF_MSE,CBF_MAE,CBF_CCC,ATT_RMSE,ATT_MSE,ATT_MAE,ATT_CCC
5.0,DNN-G,6.617291422886496,43.788545775407194,5.144389244226309,0.9675873589774033,0.4222307669723761,0.17827882057808098,0.2885376717085424,0.8145066539281522
8.0,DNN-G,4.852423297719779,23.5460118602537,3.7708622771362,0.9832785523698467,0.32878547282202786,0.10809988713880443,0.22333394182864638,0.8882161898307785
10.0,DNN-G,4.303691681931572,18.52176209312701,3.3175640744110413,0.9868770732012672,0.2991377886980368,0.08948341662715131,0.20388811821722266,0.9092289385201231
12.0,DNN-G,3.9871117454839595,15.897060070976146,3.040225529750454,0.9888013302946734,0.2817980630338452,0.07941014832962698,0.18846442597765586,0.9196052235903904
15.0,DNN-G,3.615318984284483,13.070531358127786,2.743048849711849,0.990804760796791,0.25564643504461565,0.06535509975102088,0.17300308762386093,0.9342763334001353
20.0,DNN-G,3.3201874885765448,11.023644959300224,2.4436995337240672,0.9922183163028128,0.238653899685809,0.056955683835244186,0.15819007320248563,0.9436187840573158
30.0,DNN-G,2.985939418621287,8.91583421167643,2.087679733799453,0.993675677671989,0.22316626490922756,0.04980318179353553,0.14433549705855422,0.9510924829247178
50.0,DNN-G,2.766826684978811,7.655329904710838,1.7912019128384797,0.994548706577842,0.2093742643010541,0.04383758255160766,0.13058215329878306,0.9575236449833682
100.0,DNN-G,2.656011417494661,7.054396649861998,1.5919759177842667,0.9949559843792912,0.20002731799094844,0.04001092794265201,0.11987663157608199,0.961510124511109
200.0,DNN-G,2.6385702624504135,6.962053029887644,1.522215521853903,0.9950218855214619,0.1970397681612498,0.03882467023703907,0.11637449558562658,0.9627870395561354
500.0,DNN-G,2.632457307374579,6.92983147514982,1.4943163020156298,0.9950427218707724,0.1966796693445824,0.03868289233349426,0.1151479991981417,0.9629758791447804
inf,DNN-G,2.630437363696897,6.919200724332683,1.4870106958625309,0.9950498062363424,0.19618605428441324,0.03848896789568674,0.11458204357719741,0.9631624153948761
