Range,Model,N,RMSE,MAE,Bias,CCC
0-20,DNN-G,260,0.7858584339123925,0.5954627403846153,-0.04825683006873498,0.9633041351976331
20-40,DNN-G,520,1.4342059575787454,0.8970110746530386,0.12631166164691632,0.9700368644568896
40-60,DNN-G,520,2.278682899949197,1.400101529634916,0.23713733966533954,0.9262168855331093
60-80,DNN-G,520,3.3718160721339747,1.9923076409559983,0.12162402959970328,0.8555287844750008
80-100,DNN-G,572,3.4246500092738565,2.048270819070456,-0.906468918273499,0.8489478768447719
