Range,Model,N,RMSE,MAE,Bias,CCC
0.5-1.0,DNN-G,506,0.29719249294177247,0.25506067812549027,0.25493570561234563,0.022561043230554308
1.0-1.4,DNN-G,368,0.22977310837425347,0.19970839982574448,-0.17799493274750713,0.045397700816738315
1.4-1.525,DNN-G,92,0.42321601676972115,0.4009128655390363,-0.39612182193552437,0.0008241251036103142
1.525-1.8,DNN-G,276,0.20254049854535336,0.09125129612595154,-0.09043069852028558,0.45017595140577177
1.8-2.2,DNN-G,368,0.006355619152387951,0.0038836213481395596,-0.002879117201864455,0.9984258278881923
2.2-2.6,DNN-G,368,0.009151614063840232,0.007953521553411147,0.007776539204269056,0.9967991199821145
2.6-3.0,DNN-G,414,0.0154598100823323,0.012322336466370902,0.003936816122288656,0.9922455757516457
