experiment_id,architecture,input_features,loss,physics_lambda,optimizer,learning_rate,weight_decay,seed,CBF_val_RMSE,ATT_val_RMSE,CBF_test_RMSE,ATT_test_RMSE,CBF_MAE,ATT_MAE,CBF_CCC,ATT_CCC
baseline_papermatched,paper_matched_9x50_9x100,raw,MAE,0.0,Adam,0.001,0.0,42,4.578392929708301,0.3685091636714955,4.569748456720095,0.3666317720032209,3.277929974307355,0.23242863165974617,0.9872398050656552,0.857510060534434
shared_multitask_huber_physics,shared_256_128_huber,raw_ratios_logs_diffs,weighted_huber + physics_mse,0.01,AdamW,0.0001,1e-05,42,4.608214526799926,0.3648076241621096,4.6023460847741715,0.36237992117318535,3.4083765604531138,0.23981073119461535,0.9869900539072055,0.8581215504427644
