bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.641,3.2591,0.7598,10.8145,10.0547
20-40,20006,4.4716,3.1578,-0.2249,29.787,30.012
40-60,19921,4.491,3.3153,0.2733,50.3178,50.0445
60-80,20040,5.173,3.9038,0.8664,70.8554,69.989
80-100,20051,4.3776,3.2716,-0.8234,89.1535,89.9769
