bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.6907,3.2468,1.0886,11.1433,10.0547
20-40,20006,4.4587,3.1533,-0.1896,29.8224,30.012
40-60,19921,4.5562,3.3758,0.4166,50.461,50.0445
60-80,20040,5.1755,3.9365,1.0781,71.0671,69.989
80-100,20051,4.4299,3.3109,-0.5918,89.3851,89.9769
