bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.3097,2.9991,0.946,11.0007,10.0547
20-40,20006,4.832,3.4249,-0.8166,29.1954,30.012
40-60,19921,4.5231,3.3111,0.2764,50.3209,50.0445
60-80,20040,5.9027,4.4901,1.8268,71.8158,69.989
80-100,20051,4.0137,2.9946,-0.2194,89.7575,89.9769
