bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.8922,3.3565,1.8076,11.8623,10.0547
20-40,20006,4.1959,2.988,0.0636,30.0756,30.012
40-60,19921,4.3371,3.2263,-0.0562,49.9882,50.0445
60-80,20040,4.8873,3.6953,-0.1367,69.8523,69.989
80-100,20051,4.7979,3.5635,-1.6973,88.2796,89.9769
