bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.4749,3.128,0.884,10.9386,10.0547
20-40,20006,4.6301,3.2801,-0.7016,29.3104,30.012
40-60,19921,4.7523,3.5067,0.3401,50.3846,50.0445
60-80,20040,5.503,4.1976,1.7274,71.7164,69.989
80-100,20051,4.2585,3.2164,0.0094,89.9863,89.9769
