bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.4217,3.0683,1.052,11.1067,10.0547
20-40,20006,4.7497,3.3382,-0.5088,29.5032,30.012
40-60,19921,4.6109,3.3727,0.3299,50.3744,50.0445
60-80,20040,5.671,4.3039,1.7317,71.7207,69.989
80-100,20051,4.1329,3.1173,-0.0665,89.9104,89.9769
