bin,N,RMSE,MAE,Bias,mean_pred,mean_true
0-20,19982,4.8026,3.2968,1.8466,11.9013,10.0547
20-40,20006,4.4699,3.1457,0.2306,30.2426,30.012
40-60,19921,4.4261,3.26,0.4118,50.4563,50.0445
60-80,20040,5.2097,3.9417,0.9388,70.9278,69.989
80-100,20051,4.3698,3.2584,-0.9033,89.0736,89.9769
